id;techGroup;tech;mat;scenario;year2020;year2030;year2040
1;lowCarb;all;All;sps;1692.009521;2905.435728;3343.187452
2;lowCarb;Solar PV;All;sps;742.9863752;962.6446783;1491.466767
3;lowCarb;Solar PV;Cadmium;sps;0.197978668;0.192443383;0.319410555
4;lowCarb;Solar PV;Copper;sps;345.9707415;501.5398245;795.2973508
5;lowCarb;Solar PV;Gallium;sps;0.004165646;0.047924178;2.111538524
6;lowCarb;Solar PV;Indium;sps;0.015502441;0.021738357;0.05980841
7;lowCarb;Solar PV;Lead;sps;0.610321705;0.86608227;1.386219186
8;lowCarb;Solar PV;Selenium;sps;0.035704114;0.040150875;0.054153084
9;lowCarb;Solar PV;Silicon;sps;389.973399;451.8072724;675.1641019
10;lowCarb;Solar PV;Silver;sps;1.962462935;2.088418719;2.236916151
11;lowCarb;Solar PV;Tellurium;sps;0.205413098;0.191118363;0.288578985
12;lowCarb;Solar PV;Tin;sps;0.629797805;0.900429534;1.454606677
13;lowCarb;Solar PV;Zinc;sps;3.174392633;4.538467516;7.331706597
14;lowCarb;Solar PV;Arsenic;sps;0.0;0.104359026;5.26836536
15;lowCarb;Solar PV;Others;sps;0.20649567;0.306449168;0.494011115
16;lowCarb;Wind;All;sps;643.7045868;1015.46484;1195.403916
17;lowCarb;Wind;Chromium;sps;28.73194149;42.9743917;53.28047147
18;lowCarb;Wind;Copper;sps;216.7638144;386.662736;414.7193464
19;lowCarb;Wind;Manganese;sps;45.7816933;67.39580429;83.75229697
20;lowCarb;Wind;Molybdenum;sps;6.014970761;8.97553617;11.13181864
21;lowCarb;Wind;Nickel;sps;21.04881279;29.32912131;37.7303332
22;lowCarb;Wind;Zinc;sps;321.1702995;471.8230171;586.5090027
23;lowCarb;Wind;Neodymium;sps;3.138448043;6.132030506;6.097308278
24;lowCarb;Wind;Dysprosium;sps;0.342993817;0.635389865;0.65328036
25;lowCarb;Wind;Praseodymium;sps;0.510024107;1.099273388;1.079447963
26;lowCarb;Wind;Terbium;sps;0.116849911;0.244671109;0.255717775
27;lowCarb;Wind;Others;sps;0.084738632;0.192868374;0.194892104
28;lowCarb;Hydropower;All;sps;81.30378419;141.8500587;107.0607428
29;lowCarb;Hydropower;Chromium;sps;31.83390141;55.54035187;41.91884995
