id;country;subCommodity;year2008;year2009;year2010;year2011;year2012;year2013;year2014;year2015;year2016;year2017;year2018;eip;mat
1;Albania;Ores&concentrates;205952.0;275879.0;428385.0;346792.0;427092.0;756361.0;479445.0;546986.0;590064.0;447023.0;331012.0;e;chromium
2;Austria;Metal;6596.0;5845.0;10245.0;2138.0;565.0;716.0;231.0;325.0;449.0;524.0;810.0;e;chromium
3;Austria;Ores&concentrates;833.0;333.0;4.0;1163.0;nan;nan;88.0;128.0;92.0;372.0;1478.0;e;chromium
4;Belgium;Metal;772.0;1226.0;1311.0;1010.0;678.0;1051.0;558.0;476.0;1229.0;960.0;673.0;e;chromium
5;Belgium;Ores&concentrates;48086.0;15562.0;18415.0;13945.0;34801.0;44009.0;59056.0;82335.0;42588.0;53829.0;63268.0;e;chromium
6;Bulgaria;Metal;nan;15.0;2.0;603.0;304.0;91.0;142.0;48.0;132.0;46.0;0.0;e;chromium
7;Croatia;Metal;nan;nan;nan;nan;75.0;419.0;nan;nan;nan;nan;nan;e;chromium
8;Czech Republic;Metal;594.0;662.0;21.0;103.0;69.0;168.0;166.0;349.0;500.0;463.0;388.0;e;chromium
9;Czech Republic;Ores&concentrates;507.0;369.0;764.0;1140.0;1061.0;838.0;548.0;268.0;339.0;659.0;656.0;e;chromium
10;Denmark;Metal;1262.0;659.0;1056.0;601.0;512.0;428.0;495.0;397.0;142.0;353.0;509.0;e;chromium
11;Estonia;Metal;nan;nan;nan;nan;187.0;28.0;25.0;48.0;57.0;315.0;310.0;e;chromium
12;Finland;Metal;1034.0;1577.0;1813.0;2366.0;1950.0;2542.0;174.0;573.0;150.0;391.0;1251.0;e;chromium
13;Finland;Ores&concentrates;3041.0;2050.0;8291.0;5231.0;4575.0;3424.0;148.0;231.0;361.0;15281.0;272.0;e;chromium
14;France;Metal;7844.0;4767.0;7612.0;8034.0;9720.0;9509.0;9857.0;8132.0;9906.0;9435.0;8712.0;e;chromium
15;France;Ores&concentrates;4694.0;1935.0;2422.0;2168.0;1858.0;3390.0;2729.0;3628.0;4282.0;3684.0;3325.0;e;chromium
16;Germany;Metal;5379.0;4685.0;4606.0;2995.0;6308.0;3496.0;3928.0;3570.0;5411.0;4080.0;3553.0;e;chromium
17;Germany;Ores&concentrates;23563.0;15922.0;32070.0;53989.0;60354.0;59965.0;54329.0;41717.0;54659.0;52942.0;62681.0;e;chromium
18;Greece;Ores&concentrates;nan;nan;nan;nan;nan;nan;0.0;0.0;201.0;0.0;1567.0;e;chromium
19;Italy;Metal;166.0;nan;nan;nan;35.0;9.0;31.0;126.0;116.0;26.0;28.0;e;chromium
20;Italy;Ores&concentrates;2567.0;1762.0;1617.0;3764.0;1831.0;1828.0;2259.0;2655.0;2224.0;3206.0;3856.0;e;chromium
21;Latvia;Metal;nan;nan;nan;nan;10.0;24.0;15.0;18.0;157.0;283.0;32.0;e;chromium
22;Netherlands;Metal;4282.0;885.0;3569.0;2197.0;3074.0;5870.0;6384.0;2756.0;2830.0;2299.0;3669.0;e;chromium
23;Netherlands;Ores&concentrates;117639.0;32485.0;74483.0;126012.0;158551.0;175682.0;138528.0;86107.0;85337.0;97827.0;142510.0;e;chromium
24;Norway;Metal;128.0;85.0;97.0;78.0;202.0;61.0;nan;nan;nan;nan;nan;e;chromium
25;Poland;Metal;1465.0;861.0;7948.0;7135.0;2977.0;4423.0;5980.0;7903.0;6912.0;8513.0;9342.0;e;chromium
26;Poland;Ores&concentrates;66.0;107.0;425.0;3604.0;536.0;373.0;923.0;1521.0;1076.0;2584.0;2446.0;e;chromium
27;Portugal;Metal;nan;nan;nan;nan;nan;nan;600.0;300.0;1200.0;207.0;78.0;e;chromium
28;Romania;Metal;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;chromium
29;Slovakia;Metal;1299.0;424.0;777.0;83.0;nan;nan;20.0;300.0;1100.0;700.0;400.0;e;chromium
30;Slovenia;Metal;111.0;14.0;123.0;174.0;nan;nan;nan;nan;nan;nan;nan;e;chromium
31;Spain;Metal;1165.0;516.0;665.0;237.0;555.0;470.0;518.0;524.0;1004.0;896.0;704.0;e;chromium
32;Spain;Ores&concentrates;1073.0;1022.0;600.0;1252.0;4225.0;2250.0;968.0;1746.0;3113.0;2948.0;1655.0;e;chromium
33;Sweden;Metal;225.0;100.0;191.0;167.0;123.0;122.0;140.0;179.0;61.0;136.0;797.0;e;chromium
34;Switzerland;Metal;54.0;44.0;82.0;92.0;111.0;322.0;276.0;268.0;602.0;296.0;588.0;e;chromium
35;Turkey;Metal;122.0;2667.0;184.0;1930.0;2344.0;63.0;168.0;841.0;1134.0;179.0;229.0;e;chromium
36;Turkey;Ores&concentrates;1816427.0;1748194.0;2256387.0;2161001.0;2129693.0;2218264.0;1503900.0;1325294.0;1254585.0;1390869.0;1457204.0;e;chromium
37;United Kingdom;Metal;6501.0;5058.0;7441.0;8017.0;7737.0;7061.0;7216.0;6416.0;6933.0;7153.0;7384.0;e;chromium
38;United Kingdom;Ores&concentrates;0.0;32507.0;297.0;168.0;nan;nan;nan;83.0;106.0;71.0;86.0;e;chromium
39;Albania;Ores&concentrates;2776.0;580.0;4651.0;7477.0;nan;nan;nan;nan;nan;nan;nan;i;chromium
40;Austria;Metal;8006.0;4325.0;6109.0;7868.0;4854.0;4365.0;1424.0;1161.0;1437.0;1402.0;1323.0;i;chromium
41;Austria;Ores&concentrates;42008.0;25891.0;54945.0;20921.0;33317.0;29138.0;32916.0;27414.0;25798.0;30835.0;32092.0;i;chromium
42;Belgium;Metal;1097.0;871.0;1593.0;3023.0;977.0;834.0;1062.0;1137.0;2105.0;1500.0;1796.0;i;chromium
43;Belgium;Ores&concentrates;56183.0;19050.0;25350.0;22896.0;39090.0;52755.0;57166.0;49717.0;44739.0;55797.0;63377.0;i;chromium
44;Bulgaria;Ores&concentrates;793.0;637.0;671.0;971.0;1086.0;679.0;1059.0;908.0;1348.0;755.0;1333.0;i;chromium
45;Croatia;Metal;394.0;307.0;419.0;345.0;404.0;177.0;nan;nan;nan;nan;nan;i;chromium
46;Croatia;Ores&concentrates;568.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;chromium
47;Czech Republic;Metal;282.0;83.0;514.0;139.0;147.0;218.0;307.0;442.0;372.0;202.0;873.0;i;chromium
48;Czech Republic;Ores&concentrates;12990.0;8244.0;7986.0;7986.0;8413.0;6897.0;6974.0;6753.0;5231.0;4502.0;3809.0;i;chromium
49;Denmark;Ores&concentrates;974.0;384.0;463.0;579.0;866.0;833.0;1252.0;665.0;286.0;327.0;530.0;i;chromium
50;Estonia;Metal;nan;nan;nan;nan;3.0;0.0;20.0;26.0;301.0;1196.0;1883.0;i;chromium
51;Finland;Metal;327.0;105.0;139.0;194.0;139.0;94.0;137.0;145.0;96.0;126.0;109.0;i;chromium
52;Finland;Ores&concentrates;8866.0;4521.0;9197.0;20853.0;9372.0;3726.0;2527.0;2492.0;1454.0;2325.0;2232.0;i;chromium
