id;country;subCommodity;year2008;year2009;year2010;year2011;year2012;year2013;year2014;year2015;year2016;year2017;year2018;eip;mat
1;Albania;Ores&concentrates;22703.0;21974.0;24820.0;31481.0;36482.0;38311.0;25200.0;17947.0;3349.0;7061.0;9534.0;e;copper
2;Albania;Scrap;nan;2748.0;4953.0;5656.0;nan;nan;nan;nan;nan;nan;nan;e;copper
3;Austria;Cement copper;719.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;copper
4;Austria;Matte&cement;719.0;3109.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;copper
5;Austria;Scrap;35582.0;50748.0;52702.0;55454.0;nan;nan;nan;nan;nan;nan;nan;e;copper
6;Austria;Unwrought alloys;938.0;1058.0;nan;nan;526.0;503.0;709.0;1121.0;720.0;1151.0;774.0;e;copper
7;Austria;Unwrought_ref;114903.0;115480.0;135936.0;129241.0;124897.0;99847.0;91217.0;95702.0;103281.0;124968.0;139311.0;e;copper
8;Austria;Unwrought_unref;75.0;217.0;7636.0;7780.0;1049.0;412.0;234.0;133.0;501.0;585.0;352.0;e;copper
9;Belgium;Cement copper;4139.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;copper
10;Belgium;Matte&cement;4139.0;2432.0;6935.0;9042.0;10231.0;13334.0;14382.0;18587.0;20582.0;16471.0;20420.0;e;copper
11;Belgium;Ores&concentrates;2155.0;4594.0;4549.0;2046.0;3242.0;1874.0;696.0;20498.0;58300.0;44568.0;770.0;e;copper
12;Belgium;Scrap;162090.0;110355.0;141380.0;165713.0;nan;nan;nan;nan;nan;nan;nan;e;copper
13;Belgium;Unwrought alloys;10954.0;9253.0;12116.0;11763.0;12436.0;12049.0;12270.0;12295.0;12653.0;13772.0;15427.0;e;copper
14;Belgium;Unwrought_ref;257907.0;248500.0;189253.0;187595.0;242533.0;230392.0;27574.0;33260.0;24217.0;24072.0;163230.0;e;copper
