id;country;technologyAndSource;year;mainCategory;subCategory;value;unit;Green_Red
1;Afghanistan;Hydropower;2020;Primary Energy;Production;3789.3996;TJ;green
2;Afghanistan;Hydropower;2020;Primary Energy;Supply;3789.3996;TJ;green
3;Afghanistan;Hydropower;2020;Transformation/Losses;Electricity;-3789.3996;TJ;green
4;Afghanistan;Hydropower;2020;Consumption(Elect.& Heat);Total;13623.2349;TJ;green
5;Afghanistan;Hydropower;2020;Consumption(Elect.& Heat);Electricity;13623.2349;TJ;green
6;Afghanistan;Hydropower;2020;Gross Electricity&Heat;Electricity;1052.611;TJ;green
7;Afghanistan;Hydropower;2019;Primary Energy;Production;4114.35;TJ;green
8;Afghanistan;Hydropower;2019;Primary Energy;Supply;4114.35;TJ;green
9;Afghanistan;Hydropower;2019;Transformation/Losses;Electricity;-4114.35;TJ;green
10;Afghanistan;Hydropower;2019;Consumption(Elect.& Heat);Total;12851.99024;TJ;green
11;Afghanistan;Hydropower;2019;Consumption(Elect.& Heat);Electricity;12851.99024;TJ;green
12;Afghanistan;Hydropower;2019;Gross Electricity&Heat;Electricity;1142.875;TJ;green
13;Afghanistan;Wind;2020;Primary Energy;Production;0.441504;TJ;green
14;Afghanistan;Wind;2020;Primary Energy;Supply;0.441504;TJ;green
15;Afghanistan;Wind;2020;Transformation/Losses;Electricity;-0.441504;TJ;green
16;Afghanistan;Wind;2020;Consumption(Elect.& Heat);Total;1.587246882;TJ;green
17;Afghanistan;Wind;2020;Consumption(Elect.& Heat);Electricity;1.587246882;TJ;green
18;Afghanistan;Wind;2020;Gross Electricity&Heat;Electricity;0.12264;TJ;green
19;Afghanistan;Wind;2019;Primary Energy;Production;0.441504;TJ;green
20;Afghanistan;Wind;2019;Primary Energy;Supply;0.441504;TJ;green
21;Afghanistan;Wind;2019;Transformation/Losses;Electricity;-0.441504;TJ;green
22;Afghanistan;Wind;2019;Consumption(Elect.& Heat);Total;1.379125524;TJ;green
23;Afghanistan;Wind;2019;Consumption(Elect.& Heat);Electricity;1.379125524;TJ;green
24;Afghanistan;Wind;2019;Gross Electricity&Heat;Electricity;0.12264;TJ;green
25;Afghanistan;Solar PV;2020;Primary Energy;Production;225.5724;TJ;green
26;Afghanistan;Solar PV;2020;Primary Energy;Supply;225.5724;TJ;green
27;Afghanistan;Solar PV;2020;Transformation/Losses;Electricity;-225.5724;TJ;green
28;Afghanistan;Solar PV;2020;Consumption(Elect.& Heat);Total;810.9532158;TJ;green
29;Afghanistan;Solar PV;2020;Consumption(Elect.& Heat);Electricity;810.9532158;TJ;green
30;Afghanistan;Solar PV;2020;Gross Electricity&Heat;Electricity;62.659;TJ;green
31;Afghanistan;Solar PV;2019;Primary Energy;Production;178.9308;TJ;green
32;Afghanistan;Solar PV;2019;Primary Energy;Supply;178.9308;TJ;green
33;Afghanistan;Solar PV;2019;Transformation/Losses;Electricity;-178.9308;TJ;green
34;Afghanistan;Solar PV;2019;Consumption(Elect.& Heat);Total;558.925929;TJ;green
35;Afghanistan;Solar PV;2019;Consumption(Elect.& Heat);Electricity;558.925929;TJ;green
36;Afghanistan;Solar PV;2019;Gross Electricity&Heat;Electricity;49.703;TJ;green
37;Afghanistan;Solid Biofuels;2020;Primary Energy;Production;22218.462;TJ;red
38;Afghanistan;Solid Biofuels;2020;Primary Energy;Imports;0.03402;TJ;red
39;Afghanistan;Solid Biofuels;2020;Primary Energy;Supply;22218.49602;TJ;red
40;Afghanistan;Solid Biofuels;2020;Transformation/Losses;Charcoal;-10110.67596;TJ;red
41;Afghanistan;Solid Biofuels;2020;Final Consumption;Total;12107.82006;TJ;red
42;Afghanistan;Solid Biofuels;2020;Final Consumption;Residential;12107.82006;TJ;red
43;Afghanistan;Solid Biofuels;2020;Consumption(Elect.& Heat);Total;12107.82006;TJ;red
44;Afghanistan;Solid Biofuels;2020;Consumption(Elect.& Heat);DirectUse;12107.82006;TJ;red
45;Afghanistan;Solid Biofuels;2019;Primary Energy;Production;21821.47128;TJ;red
46;Afghanistan;Solid Biofuels;2019;Primary Energy;Imports;0.03402;TJ;red
47;Afghanistan;Solid Biofuels;2019;Primary Energy;Supply;21821.5053;TJ;red
48;Afghanistan;Solid Biofuels;2019;Transformation/Losses;Charcoal;-9836.67888;TJ;red
49;Afghanistan;Solid Biofuels;2019;Final Consumption;Total;11984.82642;TJ;red
50;Afghanistan;Solid Biofuels;2019;Final Consumption;Residential;11984.82642;TJ;red
51;Afghanistan;Solid Biofuels;2019;Consumption(Elect.& Heat);Total;11984.82642;TJ;red
52;Afghanistan;Solid Biofuels;2019;Consumption(Elect.& Heat);DirectUse;11984.82642;TJ;red
53;Afghanistan;Biogas;2020;Primary Energy;Production;0.560956;TJ;green
54;Afghanistan;Biogas;2020;Primary Energy;Supply;0.560956;TJ;green
55;Afghanistan;Biogas;2020;Final Consumption;Total;0.560956;TJ;green
56;Afghanistan;Biogas;2020;Final Consumption;Residential;0.560956;TJ;green
57;Afghanistan;Biogas;2020;Consumption(Elect.& Heat);Total;0.560956;TJ;green
58;Afghanistan;Biogas;2020;Consumption(Elect.& Heat);DirectUse;0.560956;TJ;green
59;Afghanistan;Biogas;2019;Primary Energy;Production;0.560956;TJ;green
60;Afghanistan;Biogas;2019;Primary Energy;Supply;0.560956;TJ;green
61;Afghanistan;Biogas;2019;Final Consumption;Total;0.560956;TJ;green
62;Afghanistan;Biogas;2019;Final Consumption;Residential;0.560956;TJ;green
63;Afghanistan;Biogas;2019;Consumption(Elect.& Heat);Total;0.560956;TJ;green
64;Afghanistan;Biogas;2019;Consumption(Elect.& Heat);DirectUse;0.560956;TJ;green
65;Afghanistan;Charcoal;2020;Primary Energy;Imports;1.4168;TJ;red
66;Afghanistan;Charcoal;2020;Primary Energy;Exports;-0.0308;TJ;red
67;Afghanistan;Charcoal;2020;Primary Energy;Supply;1.386;TJ;red
68;Afghanistan;Charcoal;2020;Transformation/Losses;Charcoal;4576.8492;TJ;red
69;Afghanistan;Charcoal;2020;Final Consumption;Total;4578.2352;TJ;red
70;Afghanistan;Charcoal;2020;Final Consumption;Residential;4578.2352;TJ;red
71;Afghanistan;Charcoal;2020;Consumption(Elect.& Heat);Total;4578.2352;TJ;red
72;Afghanistan;Charcoal;2020;Consumption(Elect.& Heat);DirectUse;4578.2352;TJ;red
73;Afghanistan;Charcoal;2019;Primary Energy;Imports;0.462;TJ;red
74;Afghanistan;Charcoal;2019;Primary Energy;Exports;-0.0308;TJ;red
75;Afghanistan;Charcoal;2019;Primary Energy;Supply;0.4312;TJ;red
76;Afghanistan;Charcoal;2019;Transformation/Losses;Charcoal;4452.8176;TJ;red
77;Afghanistan;Charcoal;2019;Final Consumption;Total;4453.2488;TJ;red
78;Afghanistan;Charcoal;2019;Final Consumption;Residential;4453.2488;TJ;red
79;Afghanistan;Charcoal;2019;Consumption(Elect.& Heat);Total;4453.2488;TJ;red
80;Afghanistan;Charcoal;2019;Consumption(Elect.& Heat);DirectUse;4453.2488;TJ;red
81;Afghanistan;Electricity;2020;Primary Energy;Imports;16395.15898;TJ;
82;Afghanistan;Electricity;2020;Primary Energy;Supply;16395.15898;TJ;
83;Afghanistan;Electricity;2020;Transformation/Losses;Electricity;4015.413504;TJ;
84;Afghanistan;Electricity;2020;Transformation/Losses;Distribution;-5974.798285;TJ;
85;Afghanistan;Electricity;2020;Final Consumption;Total;14435.77536;TJ;
86;Afghanistan;Electricity;2020;Final Consumption;Industry;1031.648845;TJ;
87;Afghanistan;Electricity;2020;Final Consumption;Commerce;2832.71985;TJ;
88;Afghanistan;Electricity;2020;Final Consumption;Residential;10571.40666;TJ;
89;Afghanistan;Electricity;2019;Primary Energy;Imports;15459.88154;TJ;
90;Afghanistan;Electricity;2019;Primary Energy;Supply;15459.88154;TJ;
91;Afghanistan;Electricity;2019;Transformation/Losses;Electricity;4293.722304;TJ;
92;Afghanistan;Electricity;2019;Transformation/Losses;Distribution;-6341.309675;TJ;
93;Afghanistan;Electricity;2019;Final Consumption;Total;13412.2953;TJ;
94;Afghanistan;Electricity;2019;Final Consumption;Industry;954.4181522;TJ;
95;Afghanistan;Electricity;2019;Final Consumption;Commerce;2643.536048;TJ;
96;Afghanistan;Electricity;2019;Final Consumption;Residential;9814.341097;TJ;
97;Afghanistan;GrandTotal;2020;Primary Energy;Production;26234.43646;TJ;
98;Afghanistan;GrandTotal;2020;Primary Energy;Imports;16396.6098;TJ;
99;Afghanistan;GrandTotal;2020;Primary Energy;Exports;-0.0308;TJ;
100;Afghanistan;GrandTotal;2020;Primary Energy;Supply;42631.01546;TJ;
101;Afghanistan;GrandTotal;2020;Transformation/Losses;Charcoal;-5533.82676;TJ;
102;Afghanistan;GrandTotal;2020;Transformation/Losses;Distribution;-5974.798285;TJ;
103;Afghanistan;GrandTotal;2020;Final Consumption;Total;31122.39158;TJ;
104;Afghanistan;GrandTotal;2020;Final Consumption;Industry;1031.648845;TJ;
105;Afghanistan;GrandTotal;2020;Final Consumption;Commerce;2832.71985;TJ;
