id;country;technologyAndSource;year;mainCategory;subCategory;value;unit
1;Afghanistan;Hydropower;2020;PrimaryEnergy;Productions;3789.3996;TJ
2;Afghanistan;Hydropower;2020;PrimaryEnergy;Supply;3789.3996;TJ
3;Afghanistan;Hydropower;2020;TransfLosses;Electricity;-3789.3996;TJ
4;Afghanistan;Hydropower;2020;UsageConsump;Total;13623.2349;TJ
5;Afghanistan;Hydropower;2020;UsageConsump;Electricity;13623.2349;TJ
6;Afghanistan;Hydropower;2020;Gross Electricity&Heat;Electricity;1052.611;TJ
7;Afghanistan;Hydropower;2019;PrimaryEnergy;Productions;4114.35;TJ
8;Afghanistan;Hydropower;2019;PrimaryEnergy;Supply;4114.35;TJ
9;Afghanistan;Hydropower;2019;TransfLosses;Electricity;-4114.35;TJ
10;Afghanistan;Hydropower;2019;UsageConsump;Total;12851.99024;TJ
11;Afghanistan;Hydropower;2019;UsageConsump;Electricity;12851.99024;TJ
12;Afghanistan;Hydropower;2019;Gross Electricity&Heat;Electricity;1142.875;TJ
13;Afghanistan;Wind;2020;PrimaryEnergy;Productions;0.441504;TJ
14;Afghanistan;Wind;2020;PrimaryEnergy;Supply;0.441504;TJ
15;Afghanistan;Wind;2020;TransfLosses;Electricity;-0.441504;TJ
16;Afghanistan;Wind;2020;UsageConsump;Total;1.587246882;TJ
17;Afghanistan;Wind;2020;UsageConsump;Electricity;1.587246882;TJ
18;Afghanistan;Wind;2020;Gross Electricity&Heat;Electricity;0.12264;TJ
19;Afghanistan;Wind;2019;PrimaryEnergy;Productions;0.441504;TJ
20;Afghanistan;Wind;2019;PrimaryEnergy;Supply;0.441504;TJ
21;Afghanistan;Wind;2019;TransfLosses;Electricity;-0.441504;TJ
22;Afghanistan;Wind;2019;UsageConsump;Total;1.379125524;TJ
23;Afghanistan;Wind;2019;UsageConsump;Electricity;1.379125524;TJ
24;Afghanistan;Wind;2019;Gross Electricity&Heat;Electricity;0.12264;TJ
