id;country;subCommodity;year2008;year2009;year2010;year2011;year2012;year2013;year2014;year2015;year2016;year2017;year2018;eip;mat
1;Austria;nan;8853.0;6260.0;9518.0;9936.0;5562.0;5216.0;4744.0;5750.0;3471.0;3921.0;4931.0;e;graphite
2;Belgium;nan;3815.0;2634.0;993.0;1316.0;1716.0;1366.0;1658.0;931.0;3629.0;4490.0;7613.0;e;graphite
3;Czech Republic;nan;4076.0;2150.0;3154.0;3417.0;3108.0;2673.0;2980.0;2669.0;2591.0;2876.0;2851.0;e;graphite
4;France;nan;269.0;226.0;361.0;321.0;166.0;222.0;265.0;131.0;259.0;226.0;183.0;e;graphite
5;Germany;nan;18950.0;12722.0;20583.0;15600.0;12721.0;13601.0;16994.0;15376.0;14952.0;14569.0;15513.0;e;graphite
6;Greece;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;graphite
7;Italy;nan;308.0;820.0;798.0;512.0;310.0;233.0;296.0;311.0;825.0;1211.0;911.0;e;graphite
8;Lithuania;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;graphite
9;Netherlands;nan;1378.0;1974.0;2967.0;10651.0;11201.0;8019.0;9535.0;9400.0;3687.0;12650.0;7494.0;e;graphite
10;Poland;nan;82.0;80.0;233.0;505.0;977.0;796.0;600.0;610.0;504.0;702.0;942.0;e;graphite
11;Romania;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;graphite
12;Slovenia;nan;13.0;15.0;14.0;661.0;252.0;79.0;402.0;76.0;161.0;295.0;529.0;e;graphite
13;Spain;nan;10499.0;8160.0;5369.0;6142.0;5184.0;1620.0;446.0;420.0;174.0;242.0;353.0;e;graphite
14;Sweden;nan;252.0;159.0;254.0;129.0;129.0;182.0;192.0;160.0;193.0;250.0;266.0;e;graphite
15;Switzerland;nan;600.0;355.0;326.0;100.0;nan;nan;101.0;82.0;104.0;546.0;93.0;e;graphite
16;Turkey;nan;390.0;257.0;220.0;761.0;766.0;836.0;663.0;617.0;862.0;1291.0;1624.0;e;graphite
17;United Kingdom;nan;3156.0;2271.0;2981.0;3660.0;2196.0;2011.0;1608.0;1762.0;1592.0;1851.0;1687.0;e;graphite
18;Austria;nan;30863.0;4622.0;18501.0;21867.0;9272.0;10843.0;17738.0;13675.0;11979.0;15627.0;23768.0;i;graphite
19;Belgium;nan;3624.0;5048.0;7243.0;7473.0;6109.0;6321.0;6779.0;5253.0;7962.0;7723.0;11561.0;i;graphite
20;Bulgaria;nan;158.0;132.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;graphite
21;Czech Republic;nan;6233.0;2554.0;3605.0;5149.0;4757.0;5588.0;4965.0;4929.0;4367.0;4543.0;5419.0;i;graphite
22;Denmark;nan;185.0;269.0;303.0;405.0;527.0;366.0;258.0;176.0;197.0;383.0;360.0;i;graphite
23;Estonia;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;graphite
24;Finland;nan;nan;nan;nan;nan;nan;nan;38.0;45.0;52.0;153.0;306.0;i;graphite
25;France;nan;20618.0;10376.0;9981.0;11725.0;8210.0;7800.0;11152.0;9515.0;8000.0;8554.0;8106.0;i;graphite
26;Germany;nan;62180.0;33293.0;56333.0;57411.0;43349.0;46829.0;53380.0;38273.0;42140.0;45935.0;55980.0;i;graphite
27;Greece;nan;142.0;918.0;219.0;92.0;nan;nan;nan;nan;nan;nan;nan;i;graphite
28;Hungary;nan;nan;nan;nan;nan;nan;nan;112.0;29.0;38.0;76.0;1222.0;i;graphite
29;Iceland;nan;11.0;2132.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;graphite
30;Italy;nan;11832.0;5995.0;8308.0;12559.0;6411.0;6274.0;7703.0;6583.0;7017.0;8938.0;8111.0;i;graphite
31;Latvia;nan;2.0;0.0;1.0;1.0;3813.0;4.0;nan;nan;nan;nan;nan;i;graphite
32;Netherlands;nan;42612.0;2487.0;16692.0;14266.0;13498.0;11342.0;13371.0;11296.0;12090.0;14161.0;5430.0;i;graphite
33;North Macedonia;nan;1522.0;761.0;875.0;911.0;648.0;764.0;678.0;481.0;492.0;732.0;777.0;i;graphite
34;Norway;nan;561.0;508.0;400.0;129.0;nan;nan;28.0;12.0;6.0;150.0;17.0;i;graphite
35;Poland;nan;4474.0;3078.0;6933.0;10267.0;6833.0;7317.0;7742.0;6674.0;7606.0;12189.0;12575.0;i;graphite
36;Portugal;nan;1493.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;graphite
37;Romania;nan;304.0;144.0;204.0;742.0;601.0;182.0;210.0;210.0;111.0;265.0;273.0;i;graphite
38;Slovakia;nan;2981.0;962.0;1899.0;1688.0;1847.0;1741.0;2402.0;1129.0;1053.0;1671.0;1954.0;i;graphite
39;Slovenia;nan;141.0;89.0;303.0;232.0;206.0;202.0;219.0;291.0;302.0;424.0;683.0;i;graphite
40;Spain;nan;24284.0;15669.0;34268.0;10765.0;5579.0;4736.0;4828.0;5678.0;3842.0;6174.0;7521.0;i;graphite
41;Sweden;nan;1091.0;835.0;1315.0;1129.0;779.0;893.0;844.0;969.0;973.0;1404.0;1805.0;i;graphite
42;Switzerland;nan;931.0;306.0;848.0;823.0;454.0;841.0;854.0;389.0;702.0;945.0;731.0;i;graphite
43;Turkey;nan;13230.0;6788.0;11191.0;13138.0;8171.0;11776.0;8796.0;9082.0;10808.0;13513.0;11094.0;i;graphite
44;United Kingdom;nan;14309.0;7850.0;6989.0;6869.0;4114.0;4951.0;5277.0;3451.0;2667.0;3815.0;5357.0;i;graphite
45;Austria;nan;250.0;750.0;420.0;27450.0;18840.0;17190.0;23240.0;21840.0;23200.0;24400.0;25000.0;p;graphite
46;Bosnia&Herzegovina;nan;272084.0;133819.0;45079.0;nan;nan;nan;nan;nan;nan;nan;nan;p;graphite
47;Brazil;nan;80500.0;59425.0;92364.0;105188.0;88110.0;91908.0;87026.0;75100.0;61687.0;90000.0;95000.0;p;graphite
48;Canada;nan;20000.0;7000.0;20000.0;20000.0;20000.0;20000.0;20000.0;18000.0;16000.0;14000.0;11000.0;p;graphite
49;China;nan;1800000.0;1800000.0;1800000.0;1200000.0;800000.0;840000.0;900000.0;725000.0;625000.0;625000.0;693000.0;p;graphite
50;Czech Republic;nan;3000.0;3000.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;p;graphite
51;Germany;nan;0.0;0.0;0.0;0.0;109.0;269.0;517.0;398.0;502.0;422.0;222.0;p;graphite
52;India;nan;117767.0;124625.0;115697.0;153339.0;134735.0;146390.0;116712.0;135528.0;122438.0;33649.0;39030.0;p;graphite
53;Korea (Rep. of);nan;73.0;48.0;34.0;nan;nan;nan;nan;nan;nan;nan;nan;p;graphite
54;Korea, Dem. P.R. of;nan;30000.0;30000.0;10000.0;10000.0;30000.0;30000.0;60000.0;80000.0;50000.0;140000.0;40000.0;p;graphite
55;Madagascar;nan;4900.0;3400.0;3654.0;3951.0;3629.0;3833.0;699.0;3607.0;5419.0;12852.0;54587.0;p;graphite
56;Mexico;nan;7229.0;5105.0;6628.0;7348.0;7520.0;7024.0;9160.0;6524.0;14200.0;10310.0;4130.0;p;graphite
57;Mozambique;nan;nan;nan;nan;nan;nan;0.0;0.0;580.0;580.0;802.0;106773.0;p;graphite
58;Namibia;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0;0.0;2216.0;3456.0;p;graphite
