id;country;subCommodity;year2008;year2009;year2010;year2011;year2012;year2013;year2014;year2015;year2016;year2017;year2018;eip;mat
1;Austria;Carbonate;28.0;10.0;170.0;166.0;nan;nan;nan;nan;nan;nan;nan;e;lithium
2;Austria;Oxides;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;lithium
3;Belgium;Carbonate;3567.0;3042.0;4539.0;4428.0;4985.0;6736.0;5549.0;7423.0;9815.0;8037.0;8940.0;e;lithium
4;Belgium;Oxides;1281.0;781.0;2284.0;1890.0;2320.0;2380.0;2442.0;1887.0;2342.0;2478.0;1985.0;e;lithium
5;France;Carbonate;nan;nan;nan;nan;3.0;4.0;12.0;26.0;381.0;257.0;465.0;e;lithium
6;France;Oxides;5.0;91.0;46.0;108.0;103.0;72.0;114.0;102.0;85.0;97.0;116.0;e;lithium
7;Germany;Carbonate;2290.0;1880.0;2387.0;2927.0;2259.0;2809.0;3043.0;2759.0;3354.0;3014.0;2616.0;e;lithium
8;Italy;Carbonate;193.0;145.0;49.0;105.0;73.0;84.0;133.0;159.0;230.0;180.0;118.0;e;lithium
9;Netherlands;Carbonate;299.0;227.0;160.0;300.0;567.0;266.0;229.0;208.0;315.0;199.0;259.0;e;lithium
10;Netherlands;Oxides;511.0;205.0;116.0;365.0;303.0;492.0;314.0;210.0;856.0;8682.0;14911.0;e;lithium
11;Romania;Oxides;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;lithium
12;Slovenia;Carbonate;122.0;128.0;nan;nan;98.0;67.0;90.0;115.0;123.0;127.0;140.0;e;lithium
13;Slovenia;Oxides;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;lithium
14;Spain;Carbonate;128.0;228.0;176.0;268.0;100.0;2477.0;6770.0;114.0;128.0;43.0;183.0;e;lithium
15;Sweden;Carbonate;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;lithium
16;Switzerland;Oxides;88.0;2041.0;190.0;1.0;83.0;91.0;92.0;90.0;633.0;1424.0;2208.0;e;lithium
17;Turkey;Carbonate;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;lithium
18;United Kingdom;Carbonate;216.0;193.0;123.0;50.0;102.0;86.0;138.0;294.0;447.0;768.0;842.0;e;lithium
19;United Kingdom;Oxides;232.0;569.0;144.0;7.0;41.0;39.0;65.0;47.0;113.0;228.0;195.0;e;lithium
20;Austria;Carbonate;333.0;327.0;402.0;463.0;359.0;298.0;340.0;340.0;408.0;321.0;320.0;i;lithium
21;Belgium;Carbonate;4414.0;3410.0;4183.0;7770.0;7205.0;6403.0;4406.0;7859.0;10391.0;7720.0;10085.0;i;lithium
22;Belgium;Oxides;1851.0;1179.0;2410.0;2953.0;2515.0;3179.0;2389.0;2324.0;2852.0;2722.0;2371.0;i;lithium
23;Cyprus;Carbonate;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;lithium
24;Czech Republic;Carbonate;nan;nan;nan;nan;99.0;66.0;88.0;89.0;104.0;363.0;66.0;i;lithium
25;Czech Republic;Oxides;nan;nan;nan;nan;nan;nan;23.0;27.0;15.0;48.0;214.0;i;lithium
26;Denmark;Carbonate;311.0;402.0;340.0;358.0;80.0;63.0;63.0;107.0;87.0;113.0;67.0;i;lithium
27;France;Carbonate;1251.0;1172.0;1137.0;2792.0;1756.0;1162.0;1371.0;770.0;1021.0;881.0;2013.0;i;lithium
28;France;Oxides;256.0;362.0;570.0;479.0;547.0;505.0;581.0;603.0;397.0;3628.0;5540.0;i;lithium
29;Germany;Carbonate;7098.0;4433.0;6486.0;5735.0;6064.0;5977.0;6015.0;6769.0;7027.0;5483.0;5960.0;i;lithium
30;Germany;Oxides;5420.0;3000.0;1800.0;1700.0;1300.0;1600.0;1800.0;1200.0;2700.0;13000.0;10000.0;i;lithium
31;Hungary;Oxides;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;lithium
32;Ireland, Republic of;Oxides;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;lithium
33;Italy;Carbonate;1519.0;1185.0;1123.0;1369.0;1052.0;1241.0;1116.0;926.0;1131.0;934.0;913.0;i;lithium
34;Italy;Oxides;246.0;96.0;175.0;148.0;143.0;121.0;160.0;114.0;418.0;293.0;117.0;i;lithium
35;Latvia;Carbonate;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;lithium
36;Netherlands;Carbonate;729.0;316.0;431.0;527.0;462.0;524.0;542.0;342.0;277.0;374.0;267.0;i;lithium
37;Netherlands;Oxides;537.0;228.0;290.0;494.0;201.0;229.0;188.0;225.0;457.0;357.0;201.0;i;lithium
38;Poland;Carbonate;162.0;137.0;175.0;177.0;177.0;165.0;186.0;174.0;219.0;137.0;154.0;i;lithium
39;Poland;Oxides;61.0;86.0;86.0;114.0;141.0;100.0;137.0;106.0;130.0;132.0;104.0;i;lithium
40;Slovakia;Oxides;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;lithium
41;Slovenia;Oxides;186.0;139.0;95.0;125.0;190.0;298.0;332.0;348.0;405.0;367.0;198.0;i;lithium
42;Spain;Carbonate;3994.0;2825.0;3239.0;3877.0;2638.0;2905.0;2765.0;2250.0;2198.0;1432.0;2094.0;i;lithium
43;Spain;Oxides;501.0;521.0;1007.0;706.0;763.0;645.0;647.0;677.0;640.0;1654.0;2657.0;i;lithium
44;Sweden;Carbonate;278.0;191.0;87.0;69.0;159.0;126.0;136.0;167.0;176.0;253.0;156.0;i;lithium
45;Sweden;Oxides;146.0;149.0;214.0;243.0;213.0;235.0;218.0;243.0;218.0;212.0;216.0;i;lithium
46;Switzerland;Oxides;143.0;110.0;118.0;141.0;98.0;136.0;101.0;102.0;116.0;96.0;77.0;i;lithium
47;Turkey;Carbonate;617.0;613.0;770.0;865.0;1006.0;1304.0;1598.0;1372.0;1514.0;1000.0;1100.0;i;lithium
48;Turkey;Oxides;257.0;208.0;268.0;261.0;236.0;273.0;238.0;268.0;313.0;411.0;268.0;i;lithium
49;United Kingdom;Carbonate;536.0;622.0;427.0;376.0;344.0;364.0;434.0;405.0;1095.0;1919.0;1680.0;i;lithium
50;United Kingdom;Oxides;466.0;914.0;218.0;215.0;119.0;281.0;384.0;93.0;263.0;324.0;358.0;i;lithium
51;Argentina;minerals;17691.0;17570.0;17822.0;14017.0;14369.0;13305.0;15434.0;20073.0;30877.0;31060.0;34712.0;p;lithium
52;Australia;minerals-Spodumene;239528.0;197482.0;326865.0;401536.0;500899.0;405119.0;444546.0;439514.0;522181.0;1706619.0;1965944.0;p;lithium
53;Bolivia;minerals;nan;nan;nan;nan;0.0;0.0;0.0;0.0;162.0;60.0;230.0;p;lithium
54;Brazil;minerals-Spodumene;14460.0;15929.0;15733.0;7820.0;7084.0;7982.0;8519.0;5781.0;8804.0;9000.0;9000.0;p;lithium
55;Canada;minerals-Spodumene;nan;nan;nan;nan;nan;0.0;0.0;0.0;0.0;1100.0;140000.0;p;lithium
56;Canada;minerals;22000.0;10000.0;0.0;0.0;0.0;0.0;108.0;nan;nan;nan;nan;p;lithium
57;Chile;minerals;56881.0;30538.0;52851.0;69597.0;71594.0;60646.0;62253.0;56375.0;78182.0;81378.0;97323.0;p;lithium
58;China;minerals;46000.0;53000.0;55000.0;2120.0;1900.0;2100.0;1900.0;3900.0;4800.0;7000.0;7100.0;p;lithium
59;Namibia;minerals-Lepidolite;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0;0.0;30000.0;p;lithium
60;Nigeria;minerals;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0;0.0;1267.0;p;lithium
61;Portugal;minerals-Lepidolite;34888.0;37359.0;40109.0;37534.0;20698.0;19940.0;17459.0;19275.0;40758.0;65743.0;76818.0;p;lithium
62;Spain;minerals-Lepidolite;9342.0;4270.0;7824.0;nan;nan;nan;nan;nan;nan;nan;nan;p;lithium
63;USA;minerals;1500.0;1500.0;1000.0;1000.0;1000.0;870.0;900.0;900.0;900.0;900.0;900.0;p;lithium
64;Zimbabwe;minerals;nan;50000.0;42000.0;44000.0;47000.0;44000.0;44000.0;44000.0;48000.0;51000.0;70000.0;p;lithium
