id;country;subCommodity;year2008;year2009;year2010;year2011;year2012;year2013;year2014;year2015;year2016;year2017;year2018;eip;mat
1;Austria;Metal;3000.0;1800.0;2300.0;2800.0;2500.0;2500.0;3200.0;3400.0;3300.0;3100.0;3400.0;e;molybdenum
2;Belgium;Metal;243.0;105.0;371.0;128.0;204.0;650.0;880.0;943.0;1212.0;740.0;415.0;e;molybdenum
3;Belgium;Ores&concentrates;11314.0;15581.0;24396.0;25337.0;19444.0;18384.0;19546.0;20341.0;10552.0;14964.0;12700.0;e;molybdenum
4;Belgium;Oxides;379.0;91.0;83.0;366.0;688.0;59.0;116.0;38.0;1479.0;1368.0;2387.0;e;molybdenum
5;Bulgaria;Metal;123.0;132.0;122.0;355.0;133.0;139.0;138.0;143.0;131.0;253.0;127.0;e;molybdenum
6;Bulgaria;Ores&concentrates;nan;nan;nan;nan;101.0;304.0;265.0;0.0;47.0;546.0;426.0;e;molybdenum
7;Croatia;Ores&concentrates;nan;nan;nan;nan;nan;nan;nan;nan;nan;224.0;110.0;e;molybdenum
8;Czech Republic;Metal;nan;nan;nan;nan;14.0;28.0;28.0;26.0;79.0;139.0;24.0;e;molybdenum
9;Czech Republic;Ores&concentrates;nan;nan;nan;nan;nan;nan;2.0;0.0;51.0;927.0;20.0;e;molybdenum
10;Czech Republic;Oxides;nan;18.0;25.0;25.0;20.0;214.0;221.0;183.0;235.0;343.0;373.0;e;molybdenum
11;Denmark;Metal;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;molybdenum
12;Estonia;Metal;nan;nan;nan;nan;nan;nan;13.0;1.0;0.0;55.0;629.0;e;molybdenum
13;Estonia;Ores&concentrates;nan;20.0;40.0;80.0;180.0;848.0;260.0;0.0;5.0;80.0;40.0;e;molybdenum
14;France;Metal;118.0;34.0;47.0;36.0;317.0;262.0;1025.0;1470.0;573.0;675.0;1359.0;e;molybdenum
15;France;Ores&concentrates;55.0;75.0;205.0;352.0;nan;nan;157.0;30.0;41.0;79.0;618.0;e;molybdenum
16;Germany;Metal;2857.0;725.0;763.0;1248.0;1395.0;1475.0;1473.0;1141.0;1417.0;1565.0;1569.0;e;molybdenum
17;Germany;Ores&concentrates;3575.0;2502.0;5017.0;3955.0;3738.0;3127.0;2540.0;4060.0;5895.0;7496.0;5560.0;e;molybdenum
18;Germany;Oxides;nan;nan;nan;nan;nan;nan;459.0;787.0;649.0;499.0;372.0;e;molybdenum
19;Greece;Metal;nan;nan;nan;nan;nan;nan;52.0;48.0;70.0;47.0;26.0;e;molybdenum
20;Italy;Metal;873.0;488.0;911.0;443.0;409.0;76.0;728.0;286.0;83.0;64.0;62.0;e;molybdenum
21;Italy;Ores&concentrates;159.0;205.0;1523.0;2299.0;3153.0;2503.0;6023.0;5717.0;7960.0;2882.0;2261.0;e;molybdenum
22;Italy;Oxides;604.0;982.0;443.0;286.0;nan;nan;nan;nan;nan;nan;nan;e;molybdenum
23;Netherlands;Metal;282.0;46.0;249.0;492.0;123.0;141.0;251.0;161.0;600.0;126.0;154.0;e;molybdenum
