id;country;subCommodity;year2008;year2009;year2010;year2011;year2012;year2013;year2014;year2015;year2016;year2017;year2018;eip;mat
1;Albania;Ores&concentrates;8915.0;nan;nan;nan;103.0;191605.0;239379.0;282506.0;76562.0;272568.0;153325.0;e;nickel
2;Albania;Scrap;nan;0.0;1.0;7.0;nan;nan;nan;nan;nan;nan;nan;e;nickel
3;Austria;Scrap;1910.0;1775.0;1606.0;2709.0;nan;nan;nan;nan;nan;nan;nan;e;nickel
4;Austria;Unwrought;225.0;265.0;208.0;234.0;351.0;305.0;626.0;217.0;362.0;285.0;2069.0;e;nickel
5;Belgium;Mattes;115.0;921.0;697.0;2380.0;3328.0;2379.0;1053.0;444.0;505.0;166.0;149.0;e;nickel
6;Belgium;Ores&concentrates;2750.0;1212.0;nan;nan;0.0;77.0;283.0;342.0;55478.0;55256.0;67306.0;e;nickel
7;Belgium;Oxides;1196.0;834.0;221.0;910.0;498.0;1080.0;282.0;182.0;4985.0;1394.0;926.0;e;nickel
8;Belgium;Scrap;2872.0;6883.0;3443.0;7430.0;nan;nan;nan;nan;nan;nan;nan;e;nickel
9;Belgium;Unwrought;13298.0;11883.0;9271.0;9684.0;11517.0;12067.0;11189.0;11360.0;10086.0;14865.0;12044.0;e;nickel
10;Belgium;Unwrought alloys;2152.0;2479.0;1357.0;1838.0;3838.0;14106.0;12268.0;11971.0;10249.0;7178.0;2209.0;e;nickel
11;Bulgaria;Scrap;48.0;364.0;1220.0;2.0;nan;nan;nan;nan;nan;nan;nan;e;nickel
12;Czech Republic;Oxides;643.0;275.0;341.0;338.0;380.0;289.0;259.0;389.0;365.0;302.0;301.0;e;nickel
13;Czech Republic;Scrap;601.0;2420.0;4558.0;3427.0;nan;nan;nan;nan;nan;nan;nan;e;nickel
14;Czech Republic;Unwrought;758.0;228.0;126.0;272.0;725.0;1668.0;1143.0;1151.0;55.0;35.0;27.0;e;nickel
15;Czech Republic;Unwrought alloys;nan;nan;nan;nan;nan;nan;8.0;25.0;41.0;159.0;183.0;e;nickel
16;Denmark;Scrap;642.0;1063.0;1765.0;1244.0;nan;nan;nan;nan;nan;nan;nan;e;nickel
17;Estonia;Scrap;1680.0;89.0;0.0;536.0;nan;nan;nan;nan;nan;nan;nan;e;nickel
18;Estonia;Unwrought;2.0;0.0;2.0;2.0;539.0;2.0;nan;nan;nan;nan;nan;e;nickel
19;Finland;Mattes;nan;nan;nan;7732.0;13387.0;9473.0;0.0;3002.0;25458.0;43785.0;56157.0;e;nickel
20;Finland;Ores&concentrates;14069.0;0.0;8946.0;23411.0;55260.0;139017.0;103378.0;98765.0;82891.0;49265.0;63139.0;e;nickel
21;Finland;Oxides;500.0;200.0;500.0;200.0;200.0;150.0;387.0;50.0;10.0;10.0;610.0;e;nickel
22;Finland;Scrap;27.0;1511.0;323.0;33.0;nan;nan;nan;nan;nan;nan;nan;e;nickel
23;Finland;Unwrought;40108.0;37202.0;31275.0;39472.0;36364.0;36113.0;34617.0;32400.0;40603.0;42321.0;41469.0;e;nickel
24;France;Mattes;178.0;68.0;315.0;1306.0;1384.0;1240.0;1177.0;0.0;3.0;1340.0;101.0;e;nickel
25;France;Scrap;7558.0;11435.0;30601.0;11685.0;nan;nan;nan;nan;nan;nan;nan;e;nickel
26;France;Unwrought;10754.0;12095.0;9376.0;10997.0;11477.0;9535.0;6462.0;4930.0;3141.0;2060.0;1708.0;e;nickel
27;France;Unwrought alloys;2475.0;1377.0;1307.0;1875.0;1818.0;2517.0;3707.0;3910.0;3668.0;4364.0;4048.0;e;nickel
28;Germany;Mattes;20202.0;8687.0;13981.0;15998.0;19412.0;18951.0;22490.0;16795.0;17066.0;13017.0;14341.0;e;nickel
29;Germany;Ores&concentrates;316.0;1619.0;2673.0;299.0;778.0;74.0;2222.0;1970.0;3265.0;3801.0;2677.0;e;nickel
30;Germany;Scrap;5646.0;8227.0;9563.0;8600.0;nan;nan;nan;nan;nan;nan;nan;e;nickel
31;Germany;Unwrought;5200.0;2617.0;3751.0;4184.0;4808.0;4922.0;5921.0;2748.0;2957.0;3726.0;3966.0;e;nickel
