id;country;subCommodity;year2008;year2009;year2010;year2011;year2012;year2013;year2014;year2015;year2016;year2017;year2018;eip;mat
1;Austria;Other platinum group metals;nan;nan;nan;nan;100.0;400.0;200.0;400.0;300.0;200.0;200.0;e;platinum
2;Austria;Palladium;nan;nan;nan;nan;1400.0;1900.0;1200.0;1700.0;1600.0;1700.0;1500.0;e;platinum
3;Austria;Platinum;nan;nan;nan;nan;1900.0;1500.0;1300.0;1100.0;1300.0;900.0;1500.0;e;platinum
4;Austria;Platinum&platinum metals;nan;38485000.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;platinum
5;Austria;Waste&scrap;nan;295000.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;platinum
6;Belgium;Other platinum group metals;nan;nan;nan;nan;3224.0;2728.0;2888.0;2514.0;2064.0;2801.0;22412.0;e;platinum
7;Belgium;Palladium;nan;nan;nan;nan;18689.0;13690.0;11897.0;12751.0;14221.0;15238.0;18120.0;e;platinum
8;Belgium;Platinum;nan;nan;nan;nan;1200.0;800.0;260.0;384.0;290.0;564.0;2486.0;e;platinum
9;Belgium;Platinum&platinum metals;8400.0;10700.0;7500.0;8900.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
10;Belgium;Waste&scrap;649800.0;315200.0;497000.0;218400.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
11;Bulgaria;Other platinum group metals;nan;nan;nan;nan;1.0;nan;nan;nan;nan;nan;nan;e;platinum
12;Bulgaria;Palladium;nan;nan;nan;nan;10.0;3.0;7.0;1.0;1.0;3.0;0.0;e;platinum
13;Bulgaria;Platinum;nan;nan;nan;nan;10.0;4.0;500.0;2.0;6.0;12.0;3.0;e;platinum
14;Bulgaria;Platinum&platinum metals;nan;nan;1.0;15.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
15;Bulgaria;Waste&scrap;1400.0;44000.0;16000.0;23000.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
16;Croatia;Other platinum group metals;nan;nan;nan;nan;2.0;4.0;2.0;9.0;nan;1.0;0.0;e;platinum
17;Croatia;Palladium;nan;nan;nan;nan;3.0;48.0;20.0;26.0;2.0;4.0;0.0;e;platinum
18;Croatia;Platinum;nan;nan;nan;nan;13.0;100.0;39.0;43.0;12.0;13.0;4.0;e;platinum
19;Croatia;Waste&scrap;27018.0;27959.0;53996.0;24958.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
20;Czech Republic;Other platinum group metals;nan;nan;nan;nan;0.0;0.0;0.0;138.0;25.0;108.0;21.0;e;platinum
21;Czech Republic;Palladium;nan;nan;nan;nan;500.0;600.0;600.0;422.0;790.0;820.0;344.0;e;platinum
22;Czech Republic;Platinum;nan;nan;nan;nan;2300.0;2900.0;130100.0;2751.0;2860.0;2530.0;1235.0;e;platinum
23;Czech Republic;Platinum&platinum metals;3400.0;5200.0;6800.0;2900.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
24;Czech Republic;Waste&scrap;700.0;0.0;0.0;15300.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
25;Denmark;Other platinum group metals;nan;nan;nan;nan;6.0;5.0;34.0;1.0;0.0;3.0;1.0;e;platinum
26;Denmark;Palladium;nan;nan;nan;nan;200.0;300.0;27.0;79.0;29.0;79.0;37.0;e;platinum
27;Denmark;Platinum;nan;nan;nan;nan;14.0;300.0;300.0;173.0;264.0;290.0;58.0;e;platinum
28;Denmark;Platinum&platinum metals;1.0;7000.0;200.0;100.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
29;Estonia;Palladium;nan;nan;nan;nan;3.0;200.0;200.0;0.0;0.0;2.0;1.0;e;platinum
30;Estonia;Platinum;nan;nan;nan;nan;500.0;300.0;0.0;336.0;224.0;43.0;0.0;e;platinum
31;Estonia;Platinum&platinum metals;nan;7.0;nan;0.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
32;Estonia;Waste&scrap;nan;800.0;7700.0;9100.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
33;Finland;Other platinum group metals;nan;nan;nan;nan;30.0;0.0;nan;nan;nan;nan;nan;e;platinum
34;Finland;Palladium;nan;nan;nan;nan;1239.0;1543.0;1911.0;4970.0;3567.0;9522.0;13136.0;e;platinum
35;Finland;Platinum;nan;nan;nan;nan;2658.0;6932.0;133.0;95.0;218.0;426.0;1.0;e;platinum
36;Finland;Platinum&platinum metals;30.0;34126.0;6238.0;6684.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
37;Finland;Waste&scrap;218.0;267.0;723.0;75.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
38;France;Other platinum group metals;nan;nan;nan;nan;247.0;249.0;246.0;1006.0;100.0;96.0;309.0;e;platinum
39;France;Palladium;nan;nan;nan;nan;10507.0;3032.0;5268.0;8362.0;6788.0;1854.0;8473.0;e;platinum
40;France;Platinum;2033.0;1140.0;1884.0;2566.0;4139.0;4662.0;16425.0;18909.0;2848.0;38228.0;3364.0;e;platinum
41;France;Platinum metals;2120.0;1396.0;914.0;1255.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
42;France;Waste&scrap;282400.0;609699.0;179798.0;270355.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
43;Germany;Other platinum group metals;nan;nan;nan;nan;21018.0;23890.0;23716.0;18984.0;16887.0;18731.0;18595.0;e;platinum
44;Germany;Other platinum metals;24700.0;65029.0;33299.0;28158.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
45;Germany;Palladium;28600.0;43329.0;35462.0;43952.0;43524.0;44596.0;36703.0;27806.0;26426.0;30683.0;42300.0;e;platinum
46;Germany;Platinum;27700.0;36204.0;24597.0;24994.0;23627.0;25030.0;25819.0;21929.0;21540.0;25388.0;33924.0;e;platinum
47;Germany;Waste&scrap;3238800.0;3352271.0;5997852.0;6960588.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
48;Greece;Other platinum group metals;nan;nan;nan;nan;7.0;nan;nan;100.0;0.0;0.0;0.0;e;platinum
