id;year;month;phosphateRock;urea;potassiumChloride;aluminum;ironOre;copper;lead;tin;nickel;zinc;gold;platinum;silver
1;1960;1;13.0;42.25;28.5;511.4718323;11.42;715.4;206.1;2180.4;1631.0;260.8;35.27;83.5;0.9137
2;1960;2;13.0;42.25;28.5;511.4718323;11.42;728.19;203.7;2180.4;1631.0;244.9;35.27;83.5;0.9137
3;1960;3;13.0;42.25;28.5;511.4718323;11.42;684.94;210.3;2173.8;1631.0;248.7;35.27;83.5;0.9137
4;1960;4;13.0;42.25;28.5;511.4718323;11.42;723.11;213.6;2178.2;1631.0;254.6;35.27;83.5;0.9137
5;1960;5;13.0;42.25;28.5;511.4718323;11.42;684.75;213.4;2162.7;1631.0;253.8;35.27;83.5;0.9137
6;1960;6;13.0;42.25;28.5;511.4718323;11.42;691.59;202.4;2184.8;1631.0;249.8;35.27;83.5;0.9137
7;1960;7;13.0;42.25;28.5;511.4718323;11.42;702.39;196.2;2248.7;1631.0;248.7;35.27;83.5;0.9137
8;1960;8;13.0;42.25;28.5;511.4718323;11.42;675.94;195.3;2204.6;1631.0;241.0;35.27;83.5;0.9137
9;1960;9;13.0;42.25;28.5;511.4718323;11.42;647.06;192.7;2226.7;1631.0;240.1;35.27;83.5;0.9137
10;1960;10;13.0;42.25;28.5;511.4718323;11.42;612.66;185.2;2226.7;1631.0;242.3;35.27;83.5;0.9137
11;1960;11;13.0;42.25;28.5;511.4718323;11.42;642.13;188.1;2204.6;1631.0;241.4;35.27;83.5;0.9137
12;1960;12;13.0;42.25;28.5;511.4718323;11.42;636.91;179.2;2189.2;1631.0;228.2;35.27;83.5;0.9137
13;1961;1;13.0;42.25;30.0;511.4718323;11.02;606.71;175.9;2162.7;1711.0;218.0;35.25;83.5;0.9137
14;1961;2;13.0;42.25;30.0;511.4718323;11.02;616.63;179.9;2187.0;1711.0;228.2;35.25;83.5;0.9137
15;1961;3;13.0;42.25;30.0;511.4718323;11.02;621.26;181.7;2248.7;1711.0;233.2;35.25;83.5;0.9137
16;1961;4;13.0;42.25;30.0;511.4718323;11.02;631.84;185.0;2308.2;1711.0;231.3;35.25;83.5;0.9137
17;1961;5;13.0;42.25;30.0;511.4718323;11.02;668.44;183.6;2376.6;1711.0;227.1;35.25;83.5;0.9137
18;1961;6;13.0;42.25;30.0;511.4718323;11.02;652.12;178.4;2467.0;1711.0;217.8;35.25;83.5;0.9137
19;1961;7;13.0;42.25;30.0;511.4718323;11.02;633.39;178.8;2519.9;1711.0;214.7;35.25;83.5;0.9137
20;1961;8;13.0;42.25;30.0;511.4718323;11.02;636.47;178.4;2605.9;1711.0;210.8;35.25;83.5;0.9137
21;1961;9;13.0;42.25;30.0;511.4718323;11.02;632.72;176.4;2630.1;1711.0;203.7;35.25;83.5;0.9137
22;1961;10;13.0;42.25;30.0;511.4718323;11.02;630.3;172.5;2605.9;1711.0;198.2;35.25;83.5;0.9137
23;1961;11;13.0;42.25;30.0;511.4718323;11.02;632.28;166.4;2667.6;1711.0;191.8;35.25;83.5;0.9231
24;1962;12;13.0;42.25;30.0;511.4718323;11.02;634.85;166.7;2619.1;1711.0;196.9;35.25;83.5;1.0332
25;1962;1;11.5;42.25;30.0;511.4718323;11.01;635.37;162.9;2610.3;1761.0;193.6;35.23;83.5;1.0428
26;1962;2;11.5;42.25;30.0;504.8579712;11.01;647.94;161.9;2623.5;1761.0;189.6;35.23;83.5;1.0247
27;1962;3;11.5;42.25;30.0;496.0394897;11.01;647.5;167.1;2652.2;1761.0;191.4;35.23;83.5;1.015
