id;year;month;mineralMetals;preciousMetals;ferrousMetals;allMetals
1;2023;3;134.7;165.3;116.7;157.4
2;2023;2;137.1;162.7;115.1;159.5
3;2023;1;136.7;169.4;109.4;157.5
4;2022;12;131.0;166.7;101.3;154.5
5;2022;11;124.8;164.1;89.1;155.1
6;2022;10;125.2;163.3;92.5;161.5
7;2022;9;128.0;162.0;98.6;163.3
8;2022;8;134.2;165.4;105.1;169.0
9;2022;7;130.3;160.4;105.4;168.8
10;2022;6;144.0;165.4;120.9;174.2
11;2022;5;150.6;167.9;122.9;178.0
12;2022;4;167.6;175.9;138.4;184.8
13;2022;3;169.3;176.7;136.0;181.8
14;2022;2;149.9;162.0;122.1;164.4
15;2022;1;142.4;157.9;115.1;159.0
16;2021;12;133.8;154.5;106.1;152.7
17;2021;11;126.3;159.1;89.5;144.7
18;2021;10;135.2;152.5;105.8;146.3
19;2021;9;130.0;150.5;105.6;141.4
20;2021;8;138.0;154.6;133.4;144.9
21;2021;7;151.0;159.7;170.6;146.7
22;2021;6;147.8;160.4;167.3;145.1
23;2021;5;145.5;161.8;159.6;146.4
24;2021;4;134.5;155.6;141.7;139.6
25;2021;3;129.3;152.8;134.7;132.5
26;2021;2;123.8;157.5;128.3;126.7
27;2021;1;122.3;156.6;132.2;122.5
28;2020;12;118.0;154.0;119.6;118.7
29;2020;11;106.6;156.8;98.3;113.0
30;2020;10;102.4;159.9;95.2;109.7
31;2020;9;103.0;163.6;97.8;109.7
32;2020;8;100.8;167.1;94.7;106.8
33;2020;7;95.8;152.2;88.2;103.5
34;2020;6;92.2;142.7;86.0;102.3
35;2020;5;88.3;143.4;81.0;104.7
36;2020;4;84.1;140.2;73.8;100.5
37;2020;3;86.7;132.1;76.7;102.8
38;2020;2;91.2;143.0;76.9;107.9
39;2020;1;95.3;137.0;82.2;109.2
40;2019;12;93.2;129.0;79.0;107.9
41;2019;11;90.2;128.6;72.6;105.3
42;2019;10;91.6;130.7;75.3;104.3
43;2019;9;94.8;132.8;80.0;105.4
44;2019;8;92.9;127.6;79.6;104.8
45;2019;7;104.5;119.6;100.2;111.1
46;2019;6;98.0;113.7;90.9;108.3
47;2019;5;95.9;109.5;85.4;107.2
48;2019;4;95.4;110.4;80.6;108.4
49;2019;3;92.2;111.5;74.8;105.2
50;2019;2;91.6;112.6;75.5;105.5
51;2019;1;84.2;109.3;65.8;101.6
52;2018;12;82.5;105.1;61.0;99.8
53;2018;11;84.6;102.9;64.2;102.1
54;2018;10;85.1;101.7;63.2;102.5
55;2018;9;80.7;98.2;58.4;97.5
56;2018;8;82.0;100.2;58.5;100.2
57;2018;7;81.7;102.4;56.3;102.2
58;2018;6;86.3;106.8;56.6;107.3
59;2018;5;85.8;106.6;56.8;106.7
60;2018;4;82.3;104.4;54.5;101.5
61;2018;3;81.7;103.4;57.0;101.0
62;2018;2;86.2;104.3;61.4;101.8
63;2018;1;86.9;106.9;61.2;101.6
64;2017;12;84.4;104.5;59.4;101.4
65;2017;11;82.5;107.9;53.4;102.5
66;2017;10;81.6;107.0;51.6;101.5
67;2017;9;83.6;108.2;58.6;102.1
68;2017;8;84.5;106.5;62.4;104.3
69;2017;7;79.7;104.6;57.6;105.2
70;2017;6;76.4;110.3;51.3;104.4
71;2017;5;79.7;110.1;55.9;106.3
72;2017;4;86.5;117.9;64.2;110.7
73;2017;3;94.6;115.2;78.9;116.8
74;2017;2;95.4;116.7;80.1;117.8
75;2017;1;89.9;111.9;73.3;114.7
76;2016;12;89.4;108.8;72.1;112.6
77;2016;11;83.3;112.7;63.9;108.5
78;2016;10;72.1;111.9;51.3;100.1
79;2016;9;70.0;117.9;50.1;97.6
80;2016;8;72.3;120.4;52.9;98.8
81;2016;7;71.6;122.0;50.9;100.6
82;2016;6;66.4;108.4;46.5;96.7
83;2016;5;66.8;107.0;48.9;93.6
84;2016;4;68.9;104.0;52.4;93.6
85;2016;3;67.2;103.7;48.6;92.2
86;2016;2;61.6;100.0;40.5;88.3
87;2016;1;59.0;94.5;37.4;87.9
88;2015;12;59.2;94.1;35.7;88.4
89;2015;11;62.8;97.7;41.3;91.2
90;2015;10;65.7;101.6;45.3;91.1
91;2015;9;68.3;96.7;49.6;92.2
92;2015;8;68.2;97.8;49.8;94.1
93;2015;7;70.9;100.6;48.2;97.2
94;2015;6;75.7;105.1;55.1;98.9
95;2015;5;78.3;109.5;53.0;100.0
96;2015;4;77.0;111.7;48.5;101.8
97;2015;3;77.9;110.2;52.7;102.4
98;2015;2;77.2;109.2;54.6;100.9
99;2015;1;78.9;108.3;59.7;102.0
100;2014;12;78.4;98.0;56.6;100.5
101;2014;11;81.5;95.2;59.6;102.0
102;2014;10;81.6;98.7;64.3;101.3
103;2014;9;82.7;102.0;64.5;101.4
104;2014;8;84.0;104.7;68.6;102.0
105;2014;7;83.0;106.4;69.5;101.6
106;2014;6;79.3;101.7;67.3;99.5
107;2014;5;80.0;99.8;71.5;100.7
108;2014;4;82.7;100.0;79.6;103.5
109;2014;3;80.3;103.4;77.7;101.7
110;2014;2;84.3;103.2;84.9;101.3
111;2014;1;87.1;99.8;89.8;101.1
112;2013;12;88.1;97.7;93.1;101.4
113;2013;11;89.0;104.0;93.9;99.8
114;2013;10;87.8;106.6;89.8;98.3
115;2013;9;89.4;111.5;92.7;99.8
116;2013;8;91.4;111.0;94.9;102.7
117;2013;7;88.4;105.1;90.6;103.9
118;2013;6;85.1;109.2;81.8;101.3
119;2013;5;90.4;118.2;89.0;105.1
120;2013;4;95.0;125.3;97.7;105.9
121;2013;3;99.1;138.6;100.1;107.5
122;2013;2;103.1;139.6;105.0;107.5
123;2013;1;102.2;142.9;103.4;106.8
124;2012;12;97.7;146.1;91.4;103.5
125;2012;11;94.7;152.3;88.1;102.1
126;2012;10;92.8;152.8;82.0;100.9
127;2012;9;91.4;155.2;75.6;101.9
128;2012;8;91.8;143.6;83.9;104.9
129;2012;7;98.2;140.0;95.2;107.1
130;2012;6;99.9;139.1;101.2;104.3
131;2012;5;101.2;137.5;100.6;105.1
132;2012;4;103.6;143.4;104.5;105.0
133;2012;3;105.0;147.6;102.7;105.9
134;2012;2;104.7;152.6;100.1;105.0
135;2012;1;104.9;144.1;102.6;104.4
136;2011;12;98.1;138.5;96.7;99.8
137;2011;11;96.3;144.5;93.7;98.3
138;2011;10;99.9;137.8;102.1;100.6
139;2011;9;111.8;156.4;117.3;108.3
140;2011;8;110.7;155.2;112.8;108.4
141;2011;7;112.7;145.4;110.9;110.2
142;2011;6;109.4;138.0;108.8;108.6
143;2011;5;111.8;141.2;112.1;111.5
144;2011;4;115.4;151.2;113.2;115.1
145;2011;3;114.4;138.7;111.1;116.0
146;2011;2;122.2;129.7;124.4;120.2
147;2011;1;120.0;126.2;122.4;118.6
148;2010;12;113.3;126.7;112.2;114.0
149;2010;11;104.8;115.9;103.0;105.2
150;2010;10;100.5;106.4;96.4;101.1
151;2010;9;100.7;103.8;98.6;103.7
152;2010;8;100.9;98.0;102.0;103.6
153;2010;7;92.1;96.8;90.4;98.0
154;2010;6;101.2;104.1;107.0;101.7
155;2010;5;107.0;101.1;115.3;103.4
156;2010;4;110.1;93.2;115.5;101.9
157;2010;3;96.2;87.4;94.6;93.0
158;2010;2;87.1;82.8;85.0;88.4
159;2010;1;86.2;83.8;80.2;85.9
160;2009;12;76.2;80.9;65.4;80.8
161;2009;11;69.8;78.7;59.6;75.9
162;2009;10;66.4;74.8;54.8;73.2
163;2009;9;65.1;72.5;53.2;73.3
164;2009;8;70.9;68.6;62.7;77.1
165;2009;7;62.1;66.3;55.5;73.0
166;2009;6;57.1;69.5;47.1;71.0
167;2009;5;53.2;68.8;43.1;69.5
168;2009;4;52.0;67.3;41.5;67.6
169;2009;3;50.6;69.4;44.9;65.2
170;2009;2;53.8;71.7;53.6;67.4
171;2009;1;51.8;61.4;50.3;65.7
172;2008;12;49.6;58.0;47.5;63.0
173;2008;11;54.4;58.3;43.5;68.3
174;2008;10;66.5;58.9;59.4;74.5
175;2008;9;87.6;61.0;87.5;88.1
176;2008;8;100.1;64.6;110.0;95.0
177;2008;7;101.1;73.1;106.9;95.7
178;2008;6;102.2;71.6;109.7;95.6
179;2008;5;105.7;71.8;114.7;96.2
180;2008;4;106.6;72.0;113.6;95.0
181;2008;3;106.9;78.6;110.9;95.3
182;2008;2;105.7;77.7;110.4;95.6
183;2008;1;102.5;70.9;114.3;91.9
184;2007;12;104.8;64.8;112.2;92.6
185;2007;11;108.1;64.9;113.2;92.9
186;2007;10;106.0;63.1;102.4;92.1
187;2007;9;100.1;60.6;93.9;89.5
188;2007;8;93.4;59.0;79.9;86.0
189;2007;7;91.1;60.2;70.0;84.6
190;2007;6;91.6;61.5;70.0;85.1
191;2007;5;93.6;61.6;68.9;85.5
192;2007;4;90.4;63.1;63.9;83.3
193;2007;3;86.7;61.8;64.1;81.7
194;2007;2;82.2;64.2;59.4;79.6
195;2007;1;80.0;60.7;56.0;77.5
196;2006;12;80.1;60.3;51.5;76.2
197;2006;11;81.9;61.5;52.6;77.2
198;2006;10;83.1;57.5;52.8;77.8
199;2006;9;79.6;58.4;51.4;76.3
200;2006;8;79.1;60.9;50.8;77.7
201;2006;7;79.7;59.3;52.2;79.4
202;2006;6;76.1;56.8;51.3;78.1
203;2006;5;79.8;65.8;47.9;79.1
204;2006;4;74.8;63.1;49.5;76.2
205;2006;3;68.9;56.2;50.0;72.5
206;2006;2;68.2;54.3;49.0;71.9
207;2006;1;66.0;52.2;49.1;70.1
208;2005;12;63.1;50.0;48.6;69.1
209;2005;11;61.2;47.0;49.1;66.9
210;2005;10;58.9;44.7;48.6;65.1
211;2005;9;56.9;41.9;47.8;63.4
212;2005;8;56.8;40.6;47.8;63.6
213;2005;7;57.1;40.8;49.3;64.7
214;2005;6;56.5;41.3;48.8;63.9
215;2005;5;53.6;38.5;46.7;61.1
216;2005;4;53.7;38.4;46.0;60.9
217;2005;3;52.9;38.0;44.7;60.5
218;2005;2;52.6;37.6;45.2;59.7
