id;country;subCommodity;year2008;year2009;year2010;year2011;year2012;year2013;year2014;year2015;year2016;year2017;year2018;eip;mat
1;Austria;Cerium compounds;2702.0;2035.0;1936.0;1167.0;888.0;1102.0;946.0;1726.0;2276.0;1239.0;0.0;e;ree
2;Austria;Metals;373.0;244.0;258.0;452.0;500.0;532.0;475.0;393.0;469.0;449.0;30.0;e;ree
3;Austria;Other rare earth compounds;8508.0;8437.0;8658.0;4902.0;5696.0;6166.0;7552.0;7273.0;4955.0;4735.0;100.0;e;ree
4;Belgium;Cerium compounds;nan;nan;nan;nan;nan;nan;189.0;83.0;136.0;178.0;230.0;e;ree
5;Belgium;Metals;299.0;273.0;476.0;110.0;134.0;171.0;202.0;50.0;70.0;44.0;20.0;e;ree
6;Belgium;Other rare earth compounds;nan;nan;nan;nan;nan;nan;90.0;243.0;239.0;105.0;4.0;e;ree
7;Belgium;Rare earth compounds;408.0;335.0;332.0;265.0;141.0;180.0;nan;nan;nan;nan;nan;e;ree
8;Czech Republic;Rare earth compounds;8.0;3.0;6.0;2.0;0.0;2.0;2.0;2.0;7.0;10.0;12.0;e;ree
9;Estonia;Cerium compounds;nan;nan;nan;nan;nan;nan;1718.0;1854.0;2337.0;1854.0;1985.0;e;ree
10;Estonia;Metals;1.0;1.0;1.0;0.0;42.0;77.0;nan;nan;nan;nan;nan;e;ree
11;Estonia;Other rare earth compounds;nan;nan;nan;nan;nan;nan;1084.0;1116.0;1048.0;1168.0;1140.0;e;ree
12;Estonia;Rare earth compounds;2916.0;2679.0;1686.0;1124.0;3210.0;3482.0;nan;nan;nan;nan;nan;e;ree
13;Finland;Rare earth compounds;103.0;0.0;44.0;67.0;0.0;84.0;86.0;10.0;58.0;82.0;378.0;e;ree
14;France;Metals;11.0;3.0;8.0;11.0;12.0;14.0;10.0;21.0;17.0;18.0;12.0;e;ree
15;France;Rare earth compounds;1854.0;1244.0;3411.0;2789.0;2097.0;1878.0;843.0;908.0;982.0;882.0;373.0;e;ree
16;Germany;Cerium compounds;nan;nan;nan;nan;nan;nan;414.0;625.0;515.0;477.0;479.0;e;ree
17;Germany;Ferro-cerium&other pyrophoric alloys;nan;nan;nan;5.0;nan;nan;nan;nan;nan;nan;nan;e;ree
18;Germany;Metals;3.0;19.0;25.0;29.0;10.0;9.0;12.0;20.0;6.0;10.0;30.0;e;ree
19;Germany;Other rare earth compounds;nan;nan;nan;nan;nan;nan;137.0;144.0;179.0;271.0;223.0;e;ree
20;Germany;Rare earth compounds;188.0;652.0;601.0;660.0;699.0;319.0;nan;nan;nan;nan;nan;e;ree
21;Hungary;Cerium compounds;nan;nan;nan;nan;nan;nan;nan;5.0;1.0;1.0;0.0;e;ree
22;Ireland, Republic of;Rare earth compounds;9.0;7.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;ree
23;Italy;Cerium compounds;nan;nan;nan;nan;nan;nan;47.0;44.0;47.0;81.0;90.0;e;ree
24;Italy;Ferro-cerium&other pyrophoric alloys;nan;nan;nan;3.0;nan;nan;nan;nan;nan;nan;nan;e;ree
25;Italy;Metals;112.0;78.0;101.0;145.0;111.0;100.0;160.0;17.0;1.0;0.0;0.0;e;ree
26;Italy;Other rare earth compounds;nan;nan;nan;nan;nan;nan;203.0;180.0;185.0;229.0;127.0;e;ree
27;Italy;Rare earth compounds;153.0;167.0;236.0;322.0;353.0;319.0;nan;nan;nan;nan;nan;e;ree
28;Lithuania;Cerium compounds;3.0;8.0;12.0;10.0;7.0;9.0;5.0;4.0;7.0;5.0;6.0;e;ree
29;Netherlands;Cerium compounds;nan;nan;nan;nan;nan;nan;180.0;62.0;60.0;194.0;238.0;e;ree
30;Netherlands;Ferro-cerium&other pyrophoric alloys;19.0;44.0;49.0;18.0;nan;nan;nan;nan;nan;nan;nan;e;ree
31;Netherlands;Metals;202.0;135.0;86.0;70.0;163.0;2688.0;142.0;308.0;361.0;347.0;423.0;e;ree
32;Netherlands;Other rare earth compounds;nan;nan;nan;nan;nan;nan;43.0;89.0;166.0;45.0;68.0;e;ree
33;Netherlands;Rare earth compounds;131.0;150.0;177.0;327.0;341.0;256.0;nan;nan;nan;nan;nan;e;ree
34;North Macedonia;Rare earth compounds;nan;nan;nan;nan;nan;nan;nan;0.0;8.0;2.0;5.0;e;ree
35;Norway;Metals;1.0;105.0;0.0;19.0;5.0;54.0;nan;nan;nan;nan;nan;e;ree
36;Norway;Other rare earth compounds;21.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;ree
37;Norway;Rare earth compounds;nan;21.0;30.0;23.0;13.0;35.0;15.0;21.0;26.0;20.0;17.0;e;ree
38;Poland;Cerium compounds;8.0;4.0;7.0;86.0;1.0;9.0;20.0;14.0;4.0;20.0;21.0;e;ree
39;Poland;Other rare earth compounds;22.0;0.0;4.0;66.0;3.0;4.0;5.0;3.0;4.0;80.0;1.0;e;ree
40;Portugal;Other rare earth compounds;nan;20.0;9.0;2.0;nan;nan;nan;nan;nan;nan;nan;e;ree
41;Slovenia;Cerium compounds;nan;nan;nan;nan;3.0;0.0;2.0;7.0;2.0;3.0;1.0;e;ree
42;Slovenia;Metals;nan;nan;nan;7.0;2.0;1.0;3.0;4.0;6.0;1.0;1.0;e;ree
43;Slovenia;Other rare earth compounds;nan;nan;nan;nan;nan;nan;nan;nan;1.0;26.0;10.0;e;ree
44;Spain;Cerium compounds;8.0;13.0;51.0;62.0;8.0;25.0;38.0;32.0;46.0;56.0;18.0;e;ree
45;Spain;Metals;50.0;0.0;97.0;51.0;1.0;2.0;2.0;83.0;22.0;2.0;22.0;e;ree
46;Spain;Other rare earth compounds;17.0;5.0;34.0;32.0;9.0;9.0;6.0;5.0;11.0;20.0;11.0;e;ree
47;Sweden;Cerium compounds;nan;1.0;9.0;0.0;5.0;3.0;3.0;16.0;0.0;4.0;2.0;e;ree
48;Switzerland;Cerium compounds;1.0;1.0;2.0;9.0;5.0;3.0;nan;nan;nan;nan;nan;e;ree
49;Switzerland;Other rare earth compounds;1.0;26.0;1.0;1.0;5.0;1.0;nan;nan;nan;nan;nan;e;ree
50;Switzerland;Rare earth compounds;nan;nan;nan;nan;nan;nan;5.0;5.0;5.0;3.0;4.0;e;ree
51;Turkey;Cerium compounds;27.0;8.0;5.0;10.0;5.0;9.0;23.0;21.0;24.0;23.0;37.0;e;ree
52;Turkey;Other rare earth compounds;nan;nan;nan;nan;0.0;50.0;nan;0.0;5.0;0.0;1.0;e;ree
53;United Kingdom;Cerium compounds;73.0;105.0;182.0;149.0;273.0;48.0;24.0;280.0;38.0;775.0;151.0;e;ree
54;United Kingdom;Ferro-cerium&other pyrophoric alloys;7.0;6.0;37.0;48.0;nan;nan;152.0;47.0;1.0;25.0;50.0;e;ree
55;United Kingdom;Metals;237.0;54.0;46.0;272.0;54.0;65.0;18.0;17.0;9.0;13.0;12.0;e;ree
56;United Kingdom;Other rare earth compounds;622.0;459.0;614.0;347.0;214.0;220.0;275.0;259.0;165.0;278.0;356.0;e;ree
57;Austria;Cerium compounds;3487.0;1985.0;1766.0;1310.0;696.0;979.0;765.0;1006.0;905.0;989.0;70.0;i;ree
