id;country;subCommodity;year2008;year2009;year2010;year2011;year2012;year2013;year2014;year2015;year2016;year2017;year2018;eip;mat
1;Austria;Metal;95000.0;98600.0;100300.0;136000.0;155200.0;134800.0;110700.0;88200.0;95200.0;80900.0;71100.0;e;silver
2;Belgium;Metal;41900.0;69900.0;21800.0;197000.0;311900.0;152906.0;1600.0;9857.0;4913.0;5817.0;549079.0;e;silver
3;Belgium;Ores&concentrates;33100.0;6200.0;12300.0;2149800.0;1409800.0;982300.0;2009800.0;6860566.0;6824924.0;2525036.0;991000.0;e;silver
4;Bulgaria;Metal;36516.0;58565.0;37300.0;35200.0;49000.0;52600.0;50200.0;37713.0;54329.0;53365.0;37336.0;e;silver
5;Bulgaria;Ores&concentrates;nan;nan;nan;8900.0;nan;1449000.0;3469100.0;7468355.0;9660680.0;14414795.0;2000000.0;e;silver
6;Croatia;Metal;163.0;313.0;93.0;839.0;2558.0;5500.0;900.0;1293.0;818.0;682.0;656.0;e;silver
7;Cyprus;Metal;nan;100.0;400.0;1900.0;2500.0;1200.0;200.0;170.0;576.0;176.0;344.0;e;silver
8;Czech Republic;Metal;117325.0;77000.0;74600.0;399700.0;187000.0;432800.0;215100.0;54769.0;46403.0;39639.0;42627.0;e;silver
9;Czech Republic;Ores&concentrates;nan;nan;990205.0;3.0;2.0;2.0;3648.0;2660.0;4243.0;50.0;20.0;e;silver
10;Denmark;Metal;18782.0;37200.0;30300.0;53800.0;30100.0;29700.0;147400.0;22704.0;22164.0;15702.0;11183.0;e;silver
11;Denmark;Ores&concentrates;200.0;nan;nan;422100.0;1533800.0;645100.0;874600.0;344238.0;4217.0;3269.0;0.0;e;silver
12;Estonia;Metal;13.0;955.0;200.0;4600.0;1600.0;1400.0;900.0;617.0;11785.0;526.0;851.0;e;silver
13;Finland;Metal;3400.0;1680.0;1162.0;1336.0;1084.0;3058.0;1839.0;4091.0;8967.0;1726.0;866.0;e;silver
14;Finland;Ores&concentrates;nan;nan;70.0;46.0;100.0;nan;602054.0;2641485.0;2765095.0;2061137.0;1314570.0;e;silver
15;France;Metal;215148.0;169806.0;258205.0;511716.0;392507.0;420267.0;382845.0;421024.0;447350.0;479098.0;469488.0;e;silver
16;France;Ores&concentrates;51100.0;1597157.0;0.0;4053.0;109891.0;591800.0;81450.0;50430.0;47095.0;43701.0;30151.0;e;silver
17;Germany;Metal;3012400.0;2169994.0;3397674.0;3368313.0;2984504.0;2944492.0;3135036.0;2735887.0;2682469.0;2884662.0;2548709.0;e;silver
18;Greece;Metal;7400.0;79400.0;19700.0;13900.0;14100.0;54200.0;4500.0;6008.0;9302.0;9910.0;3367.0;e;silver
19;Hungary;Metal;139.0;1300.0;3300.0;29200.0;4000.0;8200.0;24200.0;17678.0;47794.0;103910.0;156702.0;e;silver
20;Ireland, Republic of;Metal;nan;nan;nan;263.0;824.0;608.0;666.0;465.0;743.0;467.0;20184.0;e;silver
21;Italy;Metal;519148.0;383782.0;715501.0;995384.0;979652.0;1024151.0;1027173.0;1014747.0;1119787.0;1111474.0;938723.0;e;silver
22;Italy;Ores&concentrates;nan;nan;38.0;0.0;1.0;112.0;3538.0;2847.0;51.0;250.0;2000.0;e;silver
23;Latvia;Metal;nan;0.0;300.0;1600.0;100.0;3600.0;2200.0;4071.0;1352.0;47.0;4000.0;e;silver
24;Lithuania;Metal;600.0;200.0;1100.0;1600.0;2900.0;3100.0;1677.0;2432.0;4062.0;5008.0;6981.0;e;silver
25;Luxembourg;Metal;100.0;159.0;1409.0;3324.0;1152.0;1884.0;300.0;1142.0;241.0;4243.0;172.0;e;silver
26;Malta;Metal;nan;nan;100.0;500.0;500.0;100.0;nan;nan;nan;nan;nan;e;silver
27;Montenegro;Metal;nan;nan;nan;0.0;14.0;372.0;42403.0;0.0;0.0;0.0;0.0;e;silver
28;Netherlands;Metal;208300.0;196180.0;216182.0;624589.0;245588.0;555475.0;160451.0;82518.0;89405.0;150777.0;106590.0;e;silver
29;Netherlands;Ores&concentrates;18000.0;0.0;1458.0;6944.0;123.0;0.0;1000.0;2301240.0;2000.0;8296949.0;7173020.0;e;silver
30;Norway;Metal;59381.0;58979.0;57617.0;62849.0;49856.0;48129.0;52256.0;49992.0;26552.0;22726.0;14383.0;e;silver
31;Poland;Metal;1121900.0;1265200.0;1281800.0;1328900.0;1378800.0;1245000.0;1436700.0;1468537.0;1278953.0;1247692.0;1158745.0;e;silver
32;Portugal;Metal;7876.0;580.0;3400.0;10600.0;40600.0;34200.0;20400.0;9259.0;5756.0;3744.0;2299.0;e;silver
33;Portugal;Ores&concentrates;13500.0;11500.0;12300.0;16300.0;15100.0;25200.0;14100.0;12496.0;12531.0;9847.0;49872.0;e;silver
34;Romania;Ores&concentrates;nan;nan;nan;217000.0;nan;181000.0;36200.0;26277.0;342675.0;887873.0;0.0;e;silver
35;Serbia;Metal;6937.0;3670.0;4355.0;4222.0;3044.0;7084.0;6978.0;3392.0;12195.0;12342.0;8994.0;e;silver
36;Slovakia;Metal;6061.0;2700.0;39100.0;15100.0;31500.0;28800.0;37900.0;62579.0;2805.0;2031.0;5402.0;e;silver
37;Slovenia;Metal;8800.0;1600.0;3100.0;3600.0;3800.0;14400.0;19300.0;22746.0;2800.0;1851.0;3800.0;e;silver
38;Spain;Metal;379675.0;233084.0;417381.0;383412.0;626782.0;670633.0;13855475.0;5245781.0;652574.0;346460.0;292333.0;e;silver
39;Spain;Ores&concentrates;0.0;30.0;377.0;9847.0;30748.0;896.0;1278.0;12345.0;11784.0;13849.0;475.0;e;silver
40;Sweden;Metal;521200.0;476300.0;412900.0;428500.0;480100.0;457100.0;501000.0;541547.0;529253.0;494075.0;510346.0;e;silver
41;Switzerland;Metal;1444198.0;916560.0;1456475.0;1779063.0;1719300.0;2490396.0;2195532.0;2173415.0;1486824.0;1338332.0;1661190.0;e;silver
42;Turkey;Metal;20897.0;170009.0;144942.0;202886.0;216509.0;209094.0;93889.0;120614.0;176520.0;87409.0;53043.0;e;silver
43;Turkey;Ores&concentrates;nan;nan;nan;nan;500.0;nan;910000.0;2.0;620268.0;580000.0;150000.0;e;silver
44;United Kingdom;Metal;6071009.0;943522.0;2579909.0;3937294.0;1464342.0;4219571.0;3516844.0;4229941.0;1693509.0;4229941.0;2927878.0;e;silver
45;United Kingdom;Ores&concentrates;192.0;1338.0;2035.0;206.0;0.0;2174.0;1584.0;40.0;17859.0;32016.0;41564.0;e;silver
