id;country;subCommodity;year2008;year2009;year2010;year2011;year2012;year2013;year2014;year2015;year2016;year2017;year2018;eip;mat
1;Austria;Scrap;8176.0;6052.0;5757.0;8583.0;nan;nan;nan;nan;nan;nan;nan;e;zinc
2;Austria;Unwrought;13794.0;5703.0;8532.0;9776.0;6410.0;11065.0;10933.0;15769.0;13874.0;18962.0;17268.0;e;zinc
3;Austria;Unwrought alloys;nan;nan;nan;nan;nan;nan;682.0;595.0;565.0;1476.0;2860.0;e;zinc
4;Belgium;Ores&concentrates;733794.0;785125.0;749582.0;725335.0;859086.0;773334.0;840967.0;771726.0;713911.0;649018.0;726411.0;e;zinc
5;Belgium;Scrap;15585.0;16644.0;14540.0;11652.0;nan;nan;nan;nan;nan;nan;nan;e;zinc
6;Belgium;Unwrought;8359.0;13590.0;155654.0;296197.0;277418.0;244589.0;252548.0;160895.0;208539.0;243087.0;358012.0;e;zinc
7;Belgium;Unwrought alloys;nan;nan;nan;154258.0;140766.0;155488.0;183718.0;151371.0;159172.0;160514.0;190153.0;e;zinc
8;Bulgaria;Ores&concentrates;7982.0;nan;nan;nan;0.0;267.0;2163.0;4483.0;7553.0;9600.0;9745.0;e;zinc
9;Bulgaria;Scrap;1293.0;2226.0;1949.0;2021.0;nan;nan;nan;nan;nan;nan;nan;e;zinc
10;Bulgaria;Unwrought;96678.0;87008.0;81332.0;71894.0;57768.0;54272.0;60880.0;62920.0;73049.0;65744.0;66341.0;e;zinc
11;Croatia;Scrap;700.0;708.0;518.0;676.0;nan;nan;nan;nan;nan;nan;nan;e;zinc
12;Czech Republic;Scrap;2705.0;2716.0;4798.0;4189.0;nan;nan;nan;nan;nan;nan;nan;e;zinc
13;Czech Republic;Unwrought;17258.0;19982.0;5148.0;5147.0;7407.0;13112.0;59970.0;50380.0;3227.0;4416.0;3494.0;e;zinc
14;Czech Republic;Unwrought alloys;nan;nan;nan;nan;nan;nan;1377.0;667.0;356.0;337.0;120.0;e;zinc
15;Denmark;Scrap;2028.0;2622.0;2563.0;2468.0;nan;nan;nan;nan;nan;nan;nan;e;zinc
16;Denmark;Unwrought;nan;124.0;318.0;635.0;789.0;1060.0;nan;nan;nan;nan;nan;e;zinc
17;Estonia;Scrap;2860.0;1065.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;zinc
18;Estonia;Unwrought alloys;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;zinc
19;Finland;Ores&concentrates;1238.0;1426.0;22479.0;50656.0;39555.0;29613.0;15395.0;10334.0;42920.0;67052.0;90955.0;e;zinc
20;Finland;Scrap;964.0;1012.0;1369.0;1215.0;nan;nan;nan;nan;nan;nan;nan;e;zinc
21;Finland;Unwrought;257411.0;268893.0;266738.0;265686.0;271313.0;272632.0;261419.0;242261.0;236156.0;236822.0;242262.0;e;zinc
22;Finland;Unwrought alloys;nan;nan;nan;nan;nan;nan;2003.0;2332.0;1175.0;460.0;475.0;e;zinc
23;France;Ores&concentrates;78398.0;39350.0;49652.0;54609.0;62111.0;97317.0;81569.0;62559.0;64781.0;76457.0;102049.0;e;zinc
24;France;Scrap;43770.0;45986.0;51755.0;42736.0;nan;nan;nan;nan;nan;nan;nan;e;zinc
25;France;Unwrought;31601.0;64773.0;79727.0;105934.0;80747.0;73557.0;119045.0;91214.0;63775.0;89439.0;76417.0;e;zinc
